tau,gamma
10.07695144,0.00166977
10.21463918,0.001787453
10.35420822,0.001909193
10.49568428,0.002034961
10.63909343,0.00216477
10.78446206,0.002298684
10.93181695,0.002436817
11.08118525,0.002579327
11.23259445,0.002726402
11.38607246,0.002878239
11.54164754,0.003035022
11.69934833,0.003196897
11.85920389,0.003363953
12.02124366,0.003536207
12.18549748,0.003713597
12.3519956,0.003895984
12.52076869,0.004083162
12.69184784,0.004274873
12.86526454,0.004470826
13.04105075,0.004670712
13.21923884,0.004874229
13.39986162,0.005081093
13.58295236,0.005291055
13.76854479,0.005503911
13.95667308,0.005719511
14.14737189,0.005937764
14.34067634,0.006158638
14.53662203,0.006382162
14.73524504,0.006608427
14.93658197,0.006837585
15.14066989,0.007069847
15.3475464,0.007305481
15.55724958,0.007544798
15.76981808,0.007788136
15.98529103,0.00803583
16.20370812,0.008288179
16.42510958,0.008545399
16.6495362,0.008807589
16.87702929,0.009074695
17.10763076,0.009346501
17.34138309,0.009622626
17.57832932,0.009902553
17.8185131,0.010185667
18.06197866,0.010471301
18.30877085,0.0107588
18.55893511,0.011047563
18.81251752,0.011337091
19.06956479,0.011627017
19.33012425,0.011917117
19.59424391,0.012207308
19.8619724,0.012497623
20.13335903,0.012788171
20.40845379,0.013079088
20.68730734,0.013370479
20.96997104,0.013662363
21.25649695,0.013954633
21.54693785,0.014247035
21.84134722,0.01453917
22.1397793,0.014830519
22.44228904,0.015120491
22.74893216,0.015408485
23.05976514,0.015693954
23.37484523,0.015976471
23.69423045,0.016255787
24.01797964,0.016531864
24.34615241,0.016804903
24.67880921,0.017075329
25.01601132,0.017343764
25.35782083,0.017610966
25.7043007,0.017877746
26.05551474,0.018144886
26.41152763,0.018413042
26.77240496,0.018682678
27.13821318,0.018954014
27.50901967,0.01922701
27.88489272,0.019501378
28.26590156,0.019776611
28.65211637,0.020052031
29.04360827,0.020326833
29.44044937,0.020600128
29.84271276,0.020870974
30.25047253,0.02113841
30.66380378,0.021401485
31.08278263,0.021659286
31.50748626,0.021910986
31.93799287,0.022155881
32.37438177,0.022393441
32.81673333,0.022623357
33.26512901,0.022845574
33.71965141,0.023060313
34.18038423,0.02326808
34.64741234,0.023469634
35.12082174,0.023665944
35.60069963,0.023858097
36.0871344,0.024047194
36.58021564,0.024234215
37.08003415,0.024419889
37.58668199,0.024604579
38.10025249,0.024788208
38.62084022,0.024970226
39.14854107,0.025149657
39.68345223,0.025325184
40.22567222,0.025495297
40.7753009,0.025658454
41.3324395,0.025813251
41.89719064,0.025958578
42.46965832,0.026093727
43.049948,0.026218464
43.63816654,0.026333034
44.23442227,0.026438115
44.83882503,0.026534722
45.45148612,0.026624063
46.07251838,0.026707383
46.7020362,0.026785794
47.34015552,0.026860139
47.98699386,0.026930884
48.64267036,0.026998074
49.30730579,0.027061343
49.98102254,0.02711998
50.66394472,0.027173027
51.35619808,0.027219411
52.05791014,0.027258062
52.76921014,0.027288032
53.49022907,0.027308572
54.22109974,0.027319201
54.96195676,0.027319722
55.71293657,0.027310227
56.47417749,0.027291064
57.24581972,0.027262796
58.02800539,0.027226137
58.82087855,0.027181891
59.62458524,0.027130894
60.43927348,0.027073965
61.26509332,0.027011875
62.10219685,0.026945323
62.95073826,0.026874921
63.81087382,0.02680118
64.68276196,0.026724482
65.56656325,0.02664505
66.46244047,0.026562913
67.37055863,0.026477878
68.29108498,0.026389514
69.22418906,0.02629717
70.17004273,0.026200013
71.12882019,0.026097102
72.10069803,0.025987466
73.08585525,0.025870195
74.0844733,0.025744522
75.09673609,0.025609884
76.12283007,0.025465969
77.16294421,0.025312728
78.21727009,0.025150371
79.28600188,0.024979338
80.36933643,0.024800243
81.46747326,0.024613812
82.58061463,0.024420803
83.70896555,0.024221931
84.85273384,0.024017799
86.01213015,0.023808854
87.18736802,0.02359536
88.37866391,0.023377402
89.58623723,0.02315491
90.81031038,0.022927693
92.05110881,0.022695479
93.30886105,0.022457955
94.58379875,0.022214794
95.87615673,0.021965691
97.18617301,0.02171038
98.51408887,0.021448661
99.86014887,0.021180415
101.2246009,0.020905623
102.6076964,0.020624365
104.0096899,0.020336821
105.4308398,0.020043251
106.8714077,0.019743974
108.331659,0.019439333
109.8118627,0.019129674
111.3122913,0.018815314
112.8332212,0.01849653
114.3749325,0.018173538
115.9377092,0.017846494
117.5218391,0.017515488
119.127614,0.017180554
120.7553295,0.016841685
122.4052856,0.01649886
124.0777861,0.016152074
125.773139,0.015801374
127.4916565,0.015446892
129.2336553,0.015088858
130.9994561,0.014727604
132.7893841,0.014363542
134.603769,0.013997124
136.4429451,0.013628795
138.3072509,0.013258942
140.1970299,0.01288785
142.1126302,0.012515672
144.0544045,0.012142424
146.0227105,0.01176799
148.0179107,0.011392161
150.0403726,0.011014683
152.0904687,0.010635321
154.1685765,0.010253936
156.2750788,0.009870553
158.4103635,0.009485423
160.574824,0.009099059
162.7688589,0.008712249
164.9928723,0.008326019
167.2472738,0.007941566
169.5324786,0.007560159
171.8489075,0.007183015
174.1969873,0.006811183
176.5771504,0.00644543
178.9898352,0.006086174
181.435486,0.005733451
183.9145532,0.005386943
186.4274935,0.005046055
188.9747697,0.004710037
191.5568509,0.004378145
194.1742128,0.00404981
196.8273372,0.003724809
199.5167131,0.003403402
202.2428355,0.003086431
205.0062067,0.002775342
207.8073355,0.002472147
210.6467379,0.002179308
213.5249369,0.001899556
216.4424625,0.001635679
219.3998521,0.001390289
222.3976504,0.001165595
225.4364095,0.00096323
228.516689,0.000784123
231.6390564,0.00062845
234.8040866,0.000495652
238.0123627,0.000384516
241.2644754,0.000293304
244.5610238,0.000219909
247.902615,0.000162019
251.2898645,0.000117267
254.7233961,8.34E-05
258.2038422,5.82E-05
261.7318438,3.99E-05
265.3080507,2.68E-05
268.9331216,1.77E-05
272.6077241,1.15E-05
276.3325351,7.31E-06
280.1082404,4.57E-06
283.9355356,2.80E-06
287.8151256,1.68E-06
291.7477248,9.92E-07
295.7340576,5.74E-07
299.7748582,3.26E-07
303.8708708,1.82E-07
308.0228498,9.92E-08
312.2315598,5.32E-08
316.4977762,2.80E-08
320.8222845,1.44E-08
325.2058813,7.31E-09
329.649374,3.63E-09
334.1535809,1.77E-09
338.7193316,8.45E-10
343.347467,3.96E-10
348.0388396,1.82E-10
